mass (g),year,reclat,reclong
102,1/1/50 0:00,41.68333,-112.13333
4162,1/1/84 0:00,12.85,11.03333
,1/1/00 0:00,14.15083,-2.04167
725,1/1/50 0:00,12.91667,11.91667
14290,1/1/09 0:00,35.53333,136.88333
18000,01/01/1853 12:00:00 AM,37.31667,13.56667
480,1/1/47 0:00,9.6,9.91667
670,1/1/90 0:00,52.2,6.86667
1303,1/1/39 0:00,-7.25,107.7
152000,1/1/18 0:00,57.35,37.61667
767,1/1/91 0:00,52.45972,-0.3
1750,01/01/1879 12:00:00 AM,50.66667,16.76667
1600,01/01/1865 12:00:00 AM,24.23333,89.05
3618,1/1/74 0:00,48.28333,38.08333
9000,1/1/64 0:00,42.9,2.25
45.5,1/1/76 0:00,60.66667,11
215,1/1/09 0:00,43.2,-79.61667
3500,01/01/1861 12:00:00 AM,43.66667,45.38333
10500,01/01/1837 12:00:00 AM,49.26667,18.71667
8000,01/01/1881 12:00:00 AM,46.35,30.58333
1000,01/01/1841 12:00:00 AM,51.93333,15.5
690,1/1/10 0:00,52.86667,16.63333
22000,1/1/32 0:00,-33,-58.61667
2910,1/1/96 0:00,39.80417,122.76389
,1/1/83 0:00,24.1,105
1900,1/1/80 0:00,37.1,118.4
39000,01/01/1892 12:00:00 AM,38.73333,-6.01667
1915,01/01/1891 12:00:00 AM,43.76667,20.23333
288,1/1/72 0:00,13.5,-0.68333
968,1/1/49 0:00,9.91667,13.98333
2449,1/1/82 0:00,22.98333,76.05
100000,1/1/84 0:00,11.49167,11.65833
5700,1/1/04 0:00,42.9,24.7
28,01/01/1814 12:00:00 AM,13.78333,78.56667
34650,1/1/81 0:00,9.36667,42.41667
1000,01/01/1851 12:00:00 AM,51.91667,8.38333
1320,1/1/30 0:00,35,127.5
0.2,01/01/1817 12:00:00 AM,35.65,139.33333
9000,1/1/34 0:00,50.31667,3.73333
1456,1/1/44 0:00,57.81667,16.23333
3710,1/1/59 0:00,41.38333,-86.6
1000,01/01/1878 12:00:00 AM,26.8,82.53333
315,1/1/21 0:00,28.38333,75.78333
8360,1/1/61 0:00,32.675,-94.51167
680,01/01/1859 12:00:00 AM,38.25,-86.16667
1110.6,1/1/10 0:00,35.2945,136.70033
1250,01/01/1890 12:00:00 AM,28.95,0.81667
29000,01/01/1628 12:00:00 AM,51.65,-1.51667
1544,1/1/71 0:00,60.24556,22.06194
3500,1/1/22 0:00,55.46667,13.78333
6100,1/1/10 0:00,27.33333,35.66667
1000,01/01/1857 12:00:00 AM,10,-84.1
20000,01/01/1869 12:00:00 AM,59.85,17.66667
750,01/01/1897 12:00:00 AM,33.6,130.43333
4500,01/01/1804 12:00:00 AM,55.9,-4.23333
414,1/1/03 0:00,34.45,132.38333
167.7,1/1/03 0:00,1.345,31.47278
305.5,1/1/54 0:00,64.43333,21.2
220000,1/1/12 0:00,34.9,-110.18333
1415,1/1/23 0:00,9.06667,38.41667
230000,01/01/1875 12:00:00 AM,41.8,-91.86667
2420,01/01/1825 12:00:00 AM,21.3,-157.86667
180,1/1/56 0:00,35.66667,115.5
266.1,1/1/63 0:00,39.35,-100.45
49000,01/01/1751 12:00:00 AM,46.1,16.33333
1600,1/1/10 0:00,26.46469,106.63241
112,01/01/1877 12:00:00 AM,50.3,8.91667
14000,01/01/1901 12:00:00 AM,61.18333,22.68333
2000,01/01/1870 12:00:00 AM,52.28333,7.7
2500,1/1/57 0:00,-20,-45
,1/1/49 0:00,38,35
3973,1/1/36 0:00,58.2,82.93333
3457,1/1/56 0:00,-32.1,28.33333
1200,1/1/77 0:00,-23.2,-51.83333
7330,1/1/75 0:00,-6.03333,145.36667
27000,01/01/1891 12:00:00 AM,39.75,46.66667
880,1/1/17 0:00,39.08333,-94.4
3000,1/1/63 0:00,41,112
4576,1/1/77 0:00,53.415,-111.3375
7000,1/1/72 0:00,-25.5,-54.5
1300,1/1/54 0:00,-8.93333,33.8
3050,1/1/28 0:00,-31.18333,-57.95
2024,01/01/1879 12:00:00 AM,-3.4,-44.33333
4720,1/1/90 0:00,26.59083,-12.95217
704.5,1/1/38 0:00,-8.41667,32.43333
48000,01/01/1903 12:00:00 AM,-32.5,21.9
973,1/1/26 0:00,26.75,68.41667
700,1/1/90 0:00,,
1967,01/01/1621 12:00:00 AM,31,75
22,01/01/1866 12:00:00 AM,18.75,75.33333
20500,1/1/79 0:00,39.7,105.8
34000,01/01/1889 12:00:00 AM,43.83333,20.44167
450,01/01/1901 12:00:00 AM,,
3667,1/1/09 0:00,46.42137,14.05217
5900,01/01/1873 12:00:00 AM,31.3,72.38333
222,1/1/64 0:00,31.91667,104.91667
600000,01/01/1890 12:00:00 AM,30.80833,109.5
4000000,1/1/76 0:00,44.05,126.16667
100,1/1/06 0:00,22.68,70.31333
30,01/01/1877 12:00:00 AM,55.7,24.4
40300,1/1/24 0:00,40.35,-104.9
483,1/1/74 0:00,-11.85,15.83333
